Date,Open,High,Low,Close,Adj Close,Volume
2022-12-25,1.317966,1.321236,1.294501,1.311256,1.311256,2765169
2022-12-26,1.311020,1.324287,1.295860,1.313364,1.313364,3102132
2022-12-27,1.313650,1.321894,1.259881,1.271220,1.271220,4692623
2022-12-28,1.271254,1.275228,1.228962,1.253758,1.253758,4947609
2022-12-29,1.253861,1.295176,1.244881,1.290761,1.290761,5131571
2022-12-30,1.290573,1.291267,1.255591,1.275508,1.275508,4660050
2022-12-31,1.275538,1.286756,1.267773,1.271103,1.271103,4656427
2023-01-01,1.271389,1.273498,1.254493,1.272642,1.272642,4488116
2023-01-02,1.272674,1.306636,1.252347,1.298627,1.298627,5728027
2023-01-03,1.298898,1.317435,1.283543,1.305031,1.305031,5751379
2023-01-04,1.305095,1.367215,1.304434,1.356616,1.356616,7915436
2023-01-05,1.356590,1.379699,1.345472,1.356616,1.356616,7197851
2023-01-06,1.356658,1.371954,1.316844,1.370709,1.370709,5736685
2023-01-07,1.370658,1.393113,1.363047,1.371728,1.371728,4454866
2023-01-08,1.371654,1.420045,1.362379,1.412148,1.412148,6192691
2023-01-09,1.411819,1.479494,1.411819,1.425099,1.425099,10798011
2023-01-10,1.424713,1.456185,1.406497,1.443210,1.443210,7205308
2023-01-11,1.443285,1.451752,1.382194,1.450023,1.450023,7225940
2023-01-12,1.474654,1.563117,1.421745,1.524642,1.524642,15778215
2023-01-13,1.525884,1.565929,1.503714,1.555434,1.555434,13993330
2023-01-14,1.554757,1.729283,1.554757,1.611590,1.611590,26672103
2023-01-15,1.611542,1.672898,1.573021,1.649446,1.649446,17473567
2023-01-16,1.649366,1.723471,1.594526,1.640755,1.640755,19322270
2023-01-17,1.640944,1.666318,1.600827,1.600827,1.600827,10462754
2023-01-18,1.600835,1.675026,1.479338,1.484092,1.484092,22550252
2023-01-19,1.483643,1.564207,1.466339,1.539232,1.539232,15048589
2023-01-20,1.538973,1.645739,1.516995,1.644522,1.644522,13136921
